plant_id,plant_name
1,Venus flytrap
2,Corpse flower
3,Rafflesia arnoldii
4,Black bat flower
5,Pitcher plant
6,Wollemi pine
7,
8,Bird of paradise
9,Cactus
10,Dragon tree
11,Asclepias Curassavica
12,Brugmansia X Candida
13,Canna ‘Striata’
14,Colocasia Esculenta
15,Cuphea ‘David Verity’
16,Euphorbia Cotinifolia
17,Ipomoea Batatas
18,Manihot Esculenta ‘Variegata’
19,Musa Basjoo
20,Salvia Splendens
21,Anthurium
22,Bird of Paradise
23,Cordyline Fruticosa
24,Ficus
25,Palm Trees
26,Dieffenbachia Seguine
27,Spathiphyllum
28,Croton
29,Aloe Vera
30,Ficus Elastica
31,Sansevieria Trifasciata
32,Philodendron Hederaceum
33,Schefflera Arboricola
34,Aglaonema Commutatum
35,Monstera Deliciosa
36,Tacca Integrifolia
37,Psychopsis Papilio
38,Saintpaulia Ionantha
39,Gaillardia
40,Amaryllis
41,Caladium Bicolor
42,Chlorophytum Comosum
43,
44,Araucaria Heterophylla
45,Begonia
46,Medinilla Magnifica
47,Calliandra Haematocephala
48,Zamioculcas Zamiifolia
49,Crassula Ovata
50,Epipremnum Aureum
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
